Complaint_ID,Make,Model,Department,Complaint,Description,location
132,TATA MOTORS,Safari,VEHICLE CONTROL,TIRES:TREAD/BELT,"ORIGINAL EQUIPMENT TIRE PERFORMS POORLY GOODYEARS HYDROPLANE, SKID, AND SLIP IN POOR WEATHER CONDITIONS.  TT",Faridabad
133,TATA MOTORS,Tiago,POWER TRAIN,ENGINE AND ENGINE COOLING:ENGINE,"MOTOR MOUNTS WENT ONCE BEFORE, NEW ONES ARE COMING LOOSE.  TT",Amritsar
134,TATA MOTORS,Nexon,POWER TRAIN,POWER TRAIN:AUTOMATIC TRANSMISSION,PURCHASE THE TRUCK 18 MONTH USED TRUCK BEEN IN THE SHOP 8 MONTHS ON THE TRANSMISSION TWICE AND TURBO CHARGER BEEN REPLACE THREE TIME.  TT,Vijayawada
135,TATA MOTORS,Indigo,SAFETY,AIR BAGS:FRONTAL,WHEN COMING FROM A STOP LIGHT DRIVERS SIDE AIRBAG DEPLOYED WITH NO WARNING AND NO REASON CAUSING DRIVER INJURYS.  TT,Thane
136,TATA MOTORS,Bolt,SAFETY,AIR BAGS:FRONTAL,DURING HEAD ON COLLISION AIR BAG DID NOT DEPLOY.  TT,Agra
137,TATA MOTORS,Punch,POWER TRAIN,ENGINE AND ENGINE COOLING:ENGINE,(508-640-1177W)LEAKAGE DUE TO DEFECTIVE HEAD ENGINE GASKET. PLEASE DESCRIBE DETAILS.  TT,Amritsar
138,TATA MOTORS,Tigor EV,STEERING & SUSPENSION,SUSPENSION,"DEFECTIVE STRUT MOUNTS, CAUSING CREEKING NOISE/SOUND WHEN TURNING STEERING WHEEL RIGHT OR LEFT. TT",Navi Mumbai
139,TATA MOTORS,Tiago EV,SAFETY,AIR BAGS,"AIR BAG DEPLOYED UPON REAR ENDING ANOTHER VEHICLE. CHEMICAL POWDERY SUBSTANCE USED FOR AIR BAG CHOKED DRIVER UNTIL SOMEONE PULLED HER OUT.""DUP: SEE 958480"".  TT",Amritsar
140,TATA MOTORS,Tigor,POWER TRAIN,POWER TRAIN:AUTOMATIC TRANSMISSION,TRANSMISSION; WHEN DRIVING ON A WET ROAD THE TRANSMISSION DOWN SHIFT FEELS LIKE AS IF YOU WERE PRESSING DOWN ON THE BRAKE YOU CAN LOOSE CONTROL OF CAR.  TT,Tiruchirappalli
141,TATA MOTORS,Indica,POWER TRAIN,POWER TRAIN:AUTOMATIC TRANSMISSION,PURCHASE CAR BRAND NEW VAN KEEPS CUTTING OFF AND THE TRANSMISSION SHIFT GEAR PROBLEM.  TT,Chandigarh
142,TATA MOTORS,Bolt,POWER TRAIN,POWER TRAIN:AUTOMATIC TRANSMISSION,TRANSMISSION SHIFT GEAR PROBLEM.  TT,Bhopal
143,TATA MOTORS,Aria,POWER TRAIN,"FUEL SYSTEM, GASOLINE","VEHICLE STALLED FOUR TIMES AT ESTIMATED SPEED OF 45 MPH, CAUSE STILL UNKNWON. DEALERSHIP THINKS FUEL LINE/PUMP FAILURE.  TT",Kolkata
144,TATA MOTORS,Zest,SAFETY,AIR BAGS:FRONTAL,WAS IN AN ACCIDENT THE DRIVERS AIR BAG DIDN'T DEPLOY AND SEAT BELT DIDN'T RESTRAIN HIT THE FRONT WINDSHIELD.  TT,Mumbai
145,TATA MOTORS,Tigor,SAFETY,AIR BAGS:FRONTAL,WAS IN AN ACCIDENT THE PASSENGERS AIR BAG DIDN'T DEPLOY AND SEAT BELT DIDN'T RESTRAIN HIT THE FRONT WINDSHIELD.  TT,Bhopal
146,TATA MOTORS,Nexon,SAFETY,SEAT BELTS,SEAT BELT DIDN'T RESTRAIN HIT THE FRONT WINDSHIELD.  TT,Hubli–Dharwad
147,TATA MOTORS,Punch,SAFETY,SEAT BELTS,PASSENGER AND DRIVER SEAT BELTS ARE ERRATIC WHEN CAR IS STARTED.  TT,Tiruchirappalli
148,TATA MOTORS,Tiago EV,STEERING & SUSPENSION,STEERING,VEHICLE WENT OUT OF CONTROL FOR NO APPARENT REASON.  TT,Coimbatore
149,TATA MOTORS,Tiago EV,SAFETY,AIR BAGS:FRONTAL,VEHICLE HIT BROAD SIDE AUTOMATIC SEAT BELT DIDN'T LOCK . TT,Ghaziabad
150,TATA MOTORS,Tiago EV,SAFETY,AIR BAGS:FRONTAL,VEHICLE HIT BROAD SIDE AND PASSENGERS AIR BAG NEVER DEPLOYED.  TT,Meerut
151,TATA MOTORS,Tigor,SAFETY,SEAT BELTS,VEHICLE HIT BROAD SIDE SEAT BELT DIDN'T LOCK.  TT,Navi Mumbai
152,TATA MOTORS,Safari,SAFETY,SEAT BELTS,AUTOMATIC SEAT BELT ON DRIVER SIDE STICKS AND DO NOT OPERATE PROPERLY.  TT,Srinagar
153,TATA MOTORS,Safari,VEHICLE CONTROL,VEHICLE SPEED CONTROL,"WHEN TOWING, ENGINE SEEMS TO RACE TOO FAST WHEN ACCELERATING FROM STOPS.  TT",Thane
154,TATA MOTORS,Harrier,POWER TRAIN,POWER TRAIN:AUTOMATIC TRANSMISSION,"TRANSMISSION SLIPS, DOWN SHIFTS WHEN TOWING TRAILER.  TT",Amritsar
155,TATA MOTORS,Sumo,SAFETY,AIR BAGS:FRONTAL,AIRBAG DEPLOYED CAUSING THE PANEL TO STRIKE PASSENGER IN THE FACE.  TT,Kanpur
156,TATA MOTORS,Zest,VEHICLE CONTROL,VEHICLE SPEED CONTROL,UNINTENDED ACCELERATION AT A HIGH SPEED WHILE CRUISE CONTROL IS ACTIVATED.  TT,Nashik
157,TATA MOTORS,Bolt,POWER TRAIN,POWER TRAIN:AUTOMATIC TRANSMISSION,TRANSMISSION FELL OUT OF VAN WHEN BEING DRIVEN.  TT,Kolkata
158,TATA MOTORS,Tiago EV,POWER TRAIN,ENGINE AND ENGINE COOLING:ENGINE,ENGINE MOUNTS FELL OUT OF VAN WHEN BEING DRIVEN.  *AK,Nagpur
159,TATA MOTORS,Tiago EV,SAFETY,AIR BAGS:FRONTAL,"FRONTAL COLLISION AT LOW SPEED, IMPACT 12:00 POSITION, AIR BAG DEPLOYED, RESULTING IN AN INJURY, SPEED 5MPH.  TT",Coimbatore
160,TATA MOTORS,Nexon,SAFETY,AIR BAGS:FRONTAL,IN A SEVERE COLLISION NEITHER PASSENGER SIDE AIR BAG DEPLOYED.  TT,Jaipur
161,TATA MOTORS,Indica,SAFETY,AIR BAGS:FRONTAL,IN A SEVERE COLLISION NEITHER DRIVER SIDE AIR BAG DEPLOYED.  TT,Kota
162,TATA MOTORS,Tiago EV,VEHICLE CONTROL,VEHICLE SPEED CONTROL,VEHICLE SUDDENLY ACCELERATED TO HIGH UNKNOWN SPEEDS CAUSING FRONTEND COLLISION. DRIVERS/PASSENGERS AIRBAGS DID NOT DEPLOY DURING ACCIDENT.   TT,Navi Mumbai
163,TATA MOTORS,Tiago EV,SAFETY,AIR BAGS:FRONTAL,"DRIVERS AIRBAG DID NOT DEPLOY DURING ACCIDENT, RESULTTING IN INJURY.  TT",Raipur
164,TATA MOTORS,Tiago EV,SAFETY,AIR BAGS:FRONTAL,PASSENGERS AIRBAG DID NOT DEPLOY DURING ACCIDENT. NO INJURIES. TT,Kanpur
165,TATA MOTORS,Bolt,POWER TRAIN,POWER TRAIN:AUTOMATIC TRANSMISSION,DOES NOT STAY IN DRIVE AND SLIPS OUT OF GEAR.  WHEN CAR SLOWS DOWN IT SHIFTS OUT OF DRIVE AND IT WON'T GO FORWARD ANYMORE.  TT,Indore
166,TATA MOTORS,Sumo,SAFETY,AIR BAGS:FRONTAL,REAR ENDED VEHICLE AIR BAG DEPLOYED WINDOWS BLEW OUT DRIVER HIT IN SHOULDER BY ONE OF THE VENTS.  TT,Amritsar
167,TATA MOTORS,Altroz,SAFETY,AIR BAGS:FRONTAL,"FRONTAL COLLISION, IMPACT 12:00 POSITION, SPEED 50 MPH, AIR BAG PARTIALLY DEPLOYED.  TT",Jaipur
168,TATA MOTORS,Tigor,VEHICLE CONTROL,VEHICLE SPEED CONTROL,"WHEN SHIFTED INTO DRIVE, VEHICLE ACCELERATED HIGHLY, FULL THROTTLE. DRIVER HIT TREE AS A RESULT.  TT",Jabalpur
169,TATA MOTORS,Tiago,SAFETY,STRUCTURE:BODY,TWO STRESS LINE FRACTURES IN THE FIRE WALL ON EITHER SIDE APPROX. 3IN LONG.  TT,Solapur
170,TATA MOTORS,Indica,POWER TRAIN,POWER TRAIN:AUTOMATIC TRANSMISSION,"EMERGENCY PARKING BRAKE DIDN'T HOLD ON A HILL, CAR WILL ROLL IF THE TRANSMISSION IS IN NEUTRAL.  TT",Amritsar
171,TATA MOTORS,Tiago EV,STEERING & SUSPENSION,SUSPENSION,"BENT RADIUS ARM, CAUSING POOR DRIVING CONDITIONS.  *AK",Faridabad
172,TATA MOTORS,Safari,SAFETY,AIR BAGS:FRONTAL,"FUMES FROM AIR BAG CAUSED OCCUPANT TO DEVELOP A LUNG CONDITION. ""DUP 950209: 958528"".  TT",Coimbatore
173,TATA MOTORS,Nexon,SAFETY,AIR BAGS:FRONTAL,DRIVER SIDE AIRBAG AND PASSENGER SIDE AIRBAGS DID NOT DEPLOY AT 12:00 COLLISION.  TT,Solapur
174,TATA MOTORS,Punch,SAFETY,AIR BAGS:FRONTAL,DRIVER SIDE AIRBAG AND PASSENGER SIDE AIRBAGS DID NOT DEPLOY AT 12:00 COLLISION.  TT,Varanasi
175,TATA MOTORS,Sumo,SAFETY,AIR BAGS:FRONTAL,CAR WAS IN AN ACCIDENT DRIVER SIDE AIR BAG DIDN'T DEPLOY.  TT,Coimbatore
176,TATA MOTORS,Vista,VEHICLE CONTROL,VEHICLE SPEED CONTROL,VEHICLE SUDDENLY ACCELERATED CRASHING INTO A TREE. TT,Lucknow
177,TATA MOTORS,Tiago EV,SAFETY,STRUCTURE:BODY,DENT IN THE DRIVER SIDE BED.  TT,Thane
178,TATA MOTORS,Punch EV,SAFETY,AIR BAGS:FRONTAL,CAR WAS IN AN ACCIDENT DRIVER'S SIDE AIR BAG DIDN'T DEPLOY. TT,Ludhiana
179,TATA MOTORS,Tigor,SAFETY,AIR BAGS:FRONTAL,"CAR WAS IN AN ACCIDENT, PASSENGERS SIDE AIR BAG DIDN'T DEPLOY. *AK",Dhanbad
180,TATA MOTORS,Tiago EV,SAFETY,AIR BAGS:FRONTAL,HAD AN ACCIDENT THE DRIVERS AIRBAG DID NOT DEPLOY CAUSING INJURY.  TT,Rajkot
181,TATA MOTORS,Indica,SAFETY,AIR BAGS:FRONTAL,HAD AN ACCIDENT THE PASSENGERS AIRBAG DID NOT DEPLOY CAUSING INJURY.  TT,Gwalior
182,TATA MOTORS,Nexon EV,SAFETY,AIR BAGS:FRONTAL,"FRONTAL COLLISION IMPACT 11:00 POSITION SPEED 30 MPH, AIR BAG DID NOT DEPLOY.  TT",Faridabad
183,TATA MOTORS,Indigo,SAFETY,SEAT BELTS,AUTOMATIC SEAT BELT DOES NOT LOCK UPON IMPACT IN A COLLISION.  TT,Srinagar
184,TATA MOTORS,Punch EV,POWER TRAIN,POWER TRAIN:AUTOMATIC TRANSMISSION,ENGINE RUNNING OPENED DOOR VEHICLE SLIPPED FROM PARK TO REVERSE. TT,Bhopal
185,TATA MOTORS,Indigo,SAFETY,AIR BAGS:FRONTAL,CAR WAS IN AN ACCIDENT DRIVER SIDE AIR BAG DIDN'T DEPLOY.  TT,Vadodara
186,TATA MOTORS,Nexon EV,SAFETY,AIR BAGS:FRONTAL,DRIVERS/PASSENGERS AIRBAG DID NOT DEPLOY DURING FRONTEND COLLISION AT 35-40MPH. PLEASE DESCRIBE DETAILS.  TT,Vasai-Virar
187,TATA MOTORS,Aria,SAFETY,STRUCTURE:BODY,LEAK; BRAND NEW CONVERTIBLE TOP ITS WATER RESISTANT NOT WATER PROOF WHEN RAINS ROOF LEAKS.  TT,Ahmedabad
188,TATA MOTORS,Harrier,UNKNOWN OR OTHER,UNKNOWN OR OTHER,THE DEALERSHIP REFUSES TO FIX A PROBLEM ON THE CAR THAT WAS RECALLED. PLEASE DESCRIBE RECALL FURTHER.  TT,Ludhiana
189,TATA MOTORS,Indigo,SAFETY,SEAT BELTS,AUTOMATIC DRIVER SEAT BELT RETRACTOR WILL NOT RETRACT ALL THE WAY.  TT,Raipur
190,TATA MOTORS,Indigo,SAFETY,SEATS,DRIVER SEAT TRACK AND ANCHORS SEAT MOVE WHILE DRIVING OR WHEN MAKING A SUDDEN STOP.  TT,Allahabad
191,TATA MOTORS,Punch,POWER TRAIN,ENGINE AND ENGINE COOLING:ENGINE,"CLICKING SOUND WHEN ACCELERATING, DUE TO WORN OR BROKEN MOTOR MOUNT.  TT",Rajkot
192,TATA MOTORS,Safari,SAFETY,AIR BAGS:FRONTAL,FRONTAL COLLISION IMPACT 12:00 POSITION SPEED 35 MPH DRIVERS SIDE AIR BAG DID NOT DEPLOY.  TT,Gwalior
193,TATA MOTORS,Harrier,VEHICLE CONTROL,VEHICLE SPEED CONTROL,"WHEN IDLE SPEED AND VEHICLE HAS STOPPED, EXPERIENCE OPEN THROTTLE POSITION, TO STOP VEHICLE APPLY BRAKES REAL HARD.  TT",Agra
194,TATA MOTORS,Safari,POWER TRAIN,POWER TRAIN:AUTOMATIC TRANSMISSION,"AUTO-TRAN: WHILE DRIVING 60 MPH, TRANSMISSION FROZE; WHEELS LOCKED UP; STARTED MAKING UNFAMILIAR SOUND; SEVERAL LOUD THUMPS, THEN FROZE.  TT",Vijayawada
195,TATA MOTORS,Nexon,VEHICLE CONTROL,VEHICLE SPEED CONTROL,WHILE PULLING OUT THE DRIVE WAY VEHICLE ACCELERATED AT A HIGH SPEED.  TT,Chennai
196,TATA MOTORS,Tiago EV,SAFETY,STRUCTURE:BODY,PROBLEMS WITH STRESS CRACKS OVER THE RAIN GUTTERS ABOVE THE DOOR.  TT,Pune
197,TATA MOTORS,Nano,VEHICLE CONTROL,VEHICLE SPEED CONTROL,"BACKING OUT OF DRIVEWAY, PUT VEHICLE IN PARK, JUMPPED OUT OF GEAR IN REVERSE CAUSING INJURIES, WHEN VEHICLE IN PARK EXPERIENCE HIGH IDLE.  TT",Vijayawada
198,TATA MOTORS,Tiago EV,POWER TRAIN,POWER TRAIN:AUTOMATIC TRANSMISSION,"BACKING OUT OF DRIVEWAY, PUT VEHICLE IN PARK, JUMPPED OUT OF GEAR IN REVERSE CAUSING INJURIES, WHEN VEHICLE IN PARK EXPERIENCE HIGH IDLE.  TT",Allahabad
199,TATA MOTORS,Tiago EV,SAFETY,SEATS,DRIVER'S SIDE SEAT TRACK AND ANCHOR THAT HOLDS SEAT IN PLACE BROKE; CAUSE UNKNOWN.  TT,Varanasi
200,TATA MOTORS,Indica,POWER TRAIN,ENGINE AND ENGINE COOLING:ENGINE,ALL MOTOR MOUNTS UPPER AND LOWER NEED TO BE REPLACE.  TT,Kanpur
201,TATA MOTORS,Safari,SAFETY,AIR BAGS:FRONTAL,IN FRONTAL COLLISION DRIVERS SIDE AIR BAG FAILED TO DEPLOY.  TT,Mumbai
202,TATA MOTORS,Tigor,SAFETY,AIR BAGS:FRONTAL,CAR WAS IN AN ACCIDENT(IT WAS A SMALL ONE)THE AIR BAG DEPLOYED AND A LOT OF BLACK POWDER CAME OUT.  TT,Varanasi
203,TATA MOTORS,Hexa,VEHICLE CONTROL,VEHICLE SPEED CONTROL,"SUDDEN ACCELERATION, CAUSING ACCIDENT/INJURY.  *AK",Srinagar
204,TATA MOTORS,Tiago EV,POWER TRAIN,"FUEL SYSTEM, GASOLINE",WHILE DRIVING ON A SIDE ROADAND CAR CAUGHT ON FIRE.    TT,Chennai
205,TATA MOTORS,Indica,POWER TRAIN,ENGINE AND ENGINE COOLING:ENGINE,NOISY ENGINE DUE TO PISTON FAILURE.  *AK,Mumbai
206,TATA MOTORS,Tiago EV,SAFETY,AIR BAGS:FRONTAL,DRIVER AIR BAG DID NOT DEPLOY DURING ACCIDENT.  TT,Faridabad
207,TATA MOTORS,Zest,POWER TRAIN,POWER TRAIN:AUTOMATIC TRANSMISSION,"PURCHASED BRAND NEW CAR, DEALER PUT A REMANUFACTURED TRANSMISSION AND IT FAILED,  ONLY HAD 37,816.  TT",Bengaluru
208,TATA MOTORS,Zest,SAFETY,SEAT BELTS,"WHILE APPLYING SEAT BELT, BELT BECOMES TWISTED AND BECOMES JAMMED.  TT",Lucknow
209,TATA MOTORS,Indica,VEHICLE CONTROL,VEHICLE SPEED CONTROL,REPLACED CRUISE CONTROL SWITCH/ADJUSTED CABLE.  *AK,Delhi
210,TATA MOTORS,Nexon,VEHICLE CONTROL,VEHICLE SPEED CONTROL,"VEHICLE LOOSES ENGINE POWER, ALTHOUGH PEDAL WAS DOWN TO FLOOR.  TT",Aurangabad
211,TATA MOTORS,Bolt,SAFETY,SEAT BELTS,AUTOMATIC SHOULDER BELTS DO NOT FUNCTION.  TT,Jodhpur
212,TATA MOTORS,Sumo,POWER TRAIN,POWER TRAIN:AUTOMATIC TRANSMISSION,TRANSMISSION JUST GOES OUT COMPLETELY AND IT NEEDED TO BE REPLACED JUST 600 MILES OVER THE LIMIT. PLEASE DESCRIBE FURTHER.  TT,Vadodara
213,TATA MOTORS,Tiago EV,POWER TRAIN,ENGINE AND ENGINE COOLING:ENGINE,CRANKSHAFT CRACKED WHERE IT ATTACHED TO THE TIMING BELT PULLEY.  TT,Ghaziabad
214,TATA MOTORS,Sumo,POWER TRAIN,POWER TRAIN,ODOMETER FAILED.  *AK,Ranchi
215,TATA MOTORS,Indica,SAFETY,AIR BAGS:FRONTAL,"DRIVER'S AIRBAG DEPLOYMENT WAS VIOLENT DURING ACCIDENT, CAUSING BURNS.  *SKD",Dhanbad
216,TATA MOTORS,Bolt,POWER TRAIN,POWER TRAIN:AUTOMATIC TRANSMISSION,TRANSMISSION FAILS TO SHIFT.,Kolkata
217,TATA MOTORS,Indigo,POWER TRAIN,ENGINE AND ENGINE COOLING:ENGINE,ENGINE OIL LEAK.,Nagpur
218,TATA MOTORS,Tigor,SAFETY,STRUCTURE:BODY,PROBLEM WITH ROOF.  *AK,Visakhapatnam
219,TATA MOTORS,Tigor,SAFETY,EXTERIOR LIGHTING,LIGHTS FAILED.,Visakhapatnam
220,TATA MOTORS,Safari,POWER TRAIN,POWER TRAIN:AUTOMATIC TRANSMISSION,TRANSMISSION FAILED.  *SKD,Srinagar
221,TATA MOTORS,Vista,SAFETY,STRUCTURE:BODY,LEFT FRONT SUNVISOR CLIP BROKE.  *SKD,Vadodara
222,TATA MOTORS,Tiago EV,VEHICLE CONTROL,TIRES,FRONT GOODYEAR TIRES FAILED.  *SKD,Pune
223,TATA MOTORS,Indigo,POWER TRAIN,ENGINE AND ENGINE COOLING:ENGINE,ROCKER ARM/CAMSHAFT NOISY.  *SKD,Bhopal
224,TATA MOTORS,Nano,SAFETY,AIR BAGS:FRONTAL,OTHER: PASSENGER'S AIR BAG FAILED.  *SKD,Kota
225,TATA MOTORS,Punch EV,POWER TRAIN,POWER TRAIN:AUTOMATIC TRANSMISSION,AUTO TRANSMISSION HAS BEEN REPLACED TWICE.  TT,Amritsar
226,TATA MOTORS,Tiago EV,VEHICLE CONTROL,VEHICLE SPEED CONTROL,"AUTO-TRAN: ENGINE ACCELERATED WHILE PARKED AND SHIFTING FROM 1ST TO PARK; LURCHED FORWARD; HIT 2 PARKED VEHICLES; 2ND OCCURENCE. HIT GARAGE WALL, 1ST OCCURENCE.",Patna
227,TATA MOTORS,Harrier,POWER TRAIN,POWER TRAIN:AUTOMATIC TRANSMISSION,"WHEN FIRST STARTING VEHICLE AND MOTOR IS COLD, TRANSMISSION STICKS IN LOW GEAR.  *AK",Howrah
228,TATA MOTORS,Aria,POWER TRAIN,POWER TRAIN:AUTOMATIC TRANSMISSION,VEHICLE WILL STALL AT SPEED OF 50 MPH WHEN CHANGING GEARS AND LOSS OF POWER HEARD A NOISE.  TT,Agra
229,TATA MOTORS,Tiago EV,SAFETY,AIR BAGS:FRONTAL,AIRBAG DID NOT DEPLOY ON 12:00 POSITION AT 50 MPH.  TT,Kota
230,TATA MOTORS,Nexon,SAFETY,AIR BAGS:FRONTAL,"UPON TWO DIFFERENT ACCIDENTS, DRIVERS AIRBAG DID NOT DEPLOY, DEALER SAID NOTHING WAS WRONG DURING 1ST ACCIDENT, HAVE NOT CHECK FOR SECOND ACCIDENT.  TT",Coimbatore
231,TATA MOTORS,Nexon,POWER TRAIN,"FUEL SYSTEM, GASOLINE",HIGHWAY SPEED VEHICLE STARTED TO LOSS POWER. PULLED OVER HOOD LATCH MELTED THEN FLAME ENGULFED VEHICLE. TOTAL LOSS. PLEASE DESCRIBE DETAILS.  TT,Nashik
232,TATA MOTORS,Safari,SAFETY,AIR BAGS:FRONTAL,"UPON IMPACT, DURING FRONTAL CRASH AT APPROX. 40MPH, 12:00 ON FRONT BUMPER AIRBAG FAILED TO DEPLOY, SHOULDER/LAP BELT FAILED TO RETRACT, HITTING STEERING COLUMN.",Hyderabad
233,TATA MOTORS,Indica,SAFETY,SEATS,VEHICLES DRIVERS SEAT BOLT CONNECTED TO FLOOR WELDS ARE DEFECTIVE CAUSING SEAT TO MOVE.  TT,Madurai
234,TATA MOTORS,Tiago EV,SAFETY,SEAT BELTS,VEHICLE WAS A STOP IMPACT 6:00 POSITION SHOULDER BELT DID NOT RETRACT CAUSING INJURIES.  TT,Jaipur
235,TATA MOTORS,Tiago EV,SAFETY,STRUCTURE:BODY,"WHILE MAKING A TURN INTO A DRIVE WAY, VEHICLE ROLLED OVER AT 15MPH, ROOF COLLAPSED.  TT",Faridabad
236,TATA MOTORS,Tigor,POWER TRAIN,"FUEL SYSTEM, GASOLINE","VEHICLE CAUGHT FIRE, UNSURE OF SOURCE.  TT",Nagpur
237,TATA MOTORS,Safari,VEHICLE CONTROL,VEHICLE SPEED CONTROL,RPMS ARE HIGH WITH TRUCK RUNNING @ 30 MPH. DEALERS AWARE AND ADJUSTED WITHOUT DRIVING. HIGH RPMS STILL EXSIST. PLEASE DESCRIBE DETAILS.  TT,Chennai
238,TATA MOTORS,Indica,POWER TRAIN,POWER TRAIN:AUTOMATIC TRANSMISSION,TRANSMISSION SHIFTS ERRATICALLY.   *AK,Indore
239,TATA MOTORS,Tiago EV,STEERING & SUSPENSION,STEERING,"WHEN GOING AROUND LEFT CURVE, STEERING WHEEL WILL JERK TO RIGHT. PLEASE DESCRIBE DETAILS.  TT",Coimbatore
240,TATA MOTORS,Safari,VEHICLE CONTROL,TIRES,FRONT GOODYEAR TIRES FAILED.  *SKD,Aurangabad
241,TATA MOTORS,Tiago EV,VEHICLE CONTROL,VEHICLE SPEED CONTROL,WHEN DRIVING PRESS THE ACCELERATOR CAR PULLS TO THE LEFT AND RIGHT STEERING WHEEL FEELS LIKE OUT OF CONTROL.  TT,Amritsar
242,TATA MOTORS,Altroz,SAFETY,AIR BAGS:FRONTAL,VEHICLE STRUCK ON THE PASSENGER FRONT QUARTER PANEL AND AIR BAG DID NOT DEPLOY.  TT,Hubli–Dharwad
243,TATA MOTORS,Punch,STEERING & SUSPENSION,STEERING,STEERING WAS INOPERABLE CAUSING AN ACCIDENT.  TT,Vadodara
244,TATA MOTORS,Sumo,SAFETY,SEAT BELTS,"DURING EMERGENCY STOP AUTOMATIC DRIVER SEAT BELT AUTOMATIC RETRACTOR MOVED FORWARD HALF WAY AND FROZE, NOT RESTRAINING DRIVER AND STUCK IN THAT POSITION.  TT",Vadodara
245,TATA MOTORS,Tiago,POWER TRAIN,POWER TRAIN:AUTOMATIC TRANSMISSION,"AUTOMATIC TRANS FAILURE, ERRATIC SHIFTING OF GEARS.  TT",Raipur
246,TATA MOTORS,Sumo,SAFETY,AIR BAGS:FRONTAL,DRIVERS/PASSENGERS AIRBAG DID NOT DEPLOY DURING FRONTAL COLLISION; COLLIDED WITH ANOTHER VEHICLE CROSSING HIGHWAY ILEGALLY.  TT,Allahabad
247,TATA MOTORS,Tigor,SAFETY,AIR BAGS,DRIVERS/PASSENGERS AIR BAG DID NOT DEPLOY WHEN VEHICLE WAS HIT FROM THE FRONT.  TT,Nagpur
248,TATA MOTORS,Safari,VEHICLE CONTROL,VEHICLE SPEED CONTROL,"IDLE REEVES UP TO 2000 RPMS, CAUSING A SURGING PROBLEM.  TT",Agra
249,TATA MOTORS,Bolt,SAFETY,AIR BAGS:FRONTAL,AIRBAG DID NOT DEPLOY DURING HEAD-ON COLLISION; VEHICLE BROADSIDED ANOTHER VEHICLE THAT RAN RED LIGHT.  TT,Thane
250,TATA MOTORS,Zest,VEHICLE CONTROL,VEHICLE SPEED CONTROL,"VEHICLE STALLS OUT AT ANY SPEED, DEALER SAID STALLING OCCURS WHEN CRUISE IS ON AND VEHICLE RPM IS OVER 70.  TT",Mysore
251,TATA MOTORS,Nexon,SAFETY,AIR BAGS,"UPON IMPACT, DURING FRONTAL CRASH AT APPROX. 35-40MPH, 12:00 ON FRONT BUMPER, AIRBAG FAILED TO DEPLOY. ""DUP: SEE 958661"".  TT",Coimbatore
252,TATA MOTORS,Tigor,POWER TRAIN,POWER TRAIN:AUTOMATIC TRANSMISSION,RALLY CHEVROLET 94V093. DEALERSHIP DOESN'T HAVE THE PARTS.  TT,Indore
253,TATA MOTORS,Vista,VEHICLE CONTROL,VEHICLE SPEED CONTROL,WHEN DRIVING COMING TO A STOP AND START BACK UP CAR ACCELERATED THERE IS NO BRAKE.   TT,Lucknow
254,TATA MOTORS,Tigor,SAFETY,AIR BAGS:FRONTAL,"FRONTAL COLLISION SPEED 15 MPH, IMPACT 12:00 POSITION AIR BAG DID NOT DEPLOY.  TT",Dhanbad
255,TATA MOTORS,Altroz,POWER TRAIN,POWER TRAIN:AUTOMATIC TRANSMISSION,"AUTOMATIC TRANSMISSION STARTING TO FAIL AT 40,000 MILES.  TT",Vadodara
256,TATA MOTORS,Bolt,ELECTRICAL SYSTEM,ELECTRICAL SYSTEM,"ELECTRICAL SYSTEM MALFUNCTIONS, EXCEPT FOR HEADLIGHTS.  TT",Srinagar
257,TATA MOTORS,Sumo,SAFETY,AIR BAGS:FRONTAL,"DRIVER AIR BAG DEPLOYED PREMATURELY WHILE DRIVING. ""DUP 950515: 480581"".  TT",Howrah
258,TATA MOTORS,Safari,SAFETY,AIR BAGS:FRONTAL,"PASSENGER AIR BAG DEPLOYED PREMATURELY WHILE DRIVING. ""DUP 950515: 480581"".  TT",Ludhiana
259,TATA MOTORS,Safari,SAFETY,AIR BAGS:FRONTAL,"UPON IMPACT, DURING FRONTAL CRASH AT APPROX. 35-40MPH, 12:00 ON FRONT BUMPER, AIRBAG FAILED TO DEPLOY. ""DUP 950209: 958666"".  TT",Guwahati
260,TATA MOTORS,Tigor,VEHICLE CONTROL,VEHICLE SPEED CONTROL,"VEHICLES THROTTLE STUCK WHILE STARTING IN REVERSE AND IN DRIVE, VEHICLE WENT THROUGH WALL.  TT",Kolkata
261,TATA MOTORS,Indica,SAFETY,AIR BAGS:FRONTAL,AIRBAG DEPLOYED AND CAUSED DRIVER SWEATER TO CATCH FIRE.  TT,Hyderabad
262,TATA MOTORS,Sumo,VEHICLE CONTROL,VEHICLE SPEED CONTROL,"WHILE DRIVING, SUDDENLY VEHICLE BEGAN TO ACCELERATE, THROTTLE SEEMED TO BE STUCK, BRAKE ACTION WAS INADEQUATE, DEALER CAN'T REPRODUCE PROBLEM.  TT",Nashik
263,TATA MOTORS,Altroz,SAFETY,SEAT BELTS,VEHICLES DRIVER SIDE SAFETY BELT SYSTEM GETS STUCK IN MIDDLE POSITION OF MECHANISM.  TT,Ghaziabad
